Région,Homme 0 à 19 ans,Homme 20 à 39 ans,Homme 40 à 59 ans,Homme 60 à 74 ans,Homme 75 ans et plus,Femme 0 à 19 ans,Femme 20 à 39 ans,Femme 40 à 59 ans,Femme 60 à 74 ans,Femme 75 ans et plus
Alsace,228114,232452,262694,130053,56677,217353,236656,264906,136065,96050
Aquitaine,379188,375522,442336,258219,134564,362797,380724,463419,287831,218792
Auvergne,149863,151217,186737,112709,56890,144904,147238,187984,121273,96815
Basse-Normandie,180286,163913,198799,114750,59364,171245,162845,201032,126902,100106
Bourgogne,190917,180448,220932,135654,68838,180239,179091,225662,146790,115360
Bretagne,404425,377284,438332,243655,120932,384595,364403,439660,275062,211311
Centre,316000,287444,343730,197806,104200,301664,289689,352005,215998,164395
Champagne-Ardenne,165662,161234,178757,98686,45586,156874,156639,183057,108001,79001
Corse,34449,38174,44863,27413,13281,31981,37955,45639,28808,19557
Franche-Comté,148568,142446,158047,88252,41835,140297,137631,158994,93502,68334
Haute-Normandie,240430,223697,244544,126904,58094,228903,225644,254216,143837,101833
Île-de-France,1577836,1691173,1541462,681540,294404,1520883,1776935,1622740,766243,505147
Languedoc-Roussillon,323531,303846,352466,218703,111078,310103,314168,377551,242656,173184
Limousin,78873,78070,99565,64047,36660,74703,77118,102356,69586,60069
Lorraine,282098,295231,323772,167594,78413,267699,285267,331210,185115,134258
Midi-Pyrénées,345982,352155,394843,221874,122624,326325,344634,405369,242878,189823
Nord - Pas-de-Calais,555889,524570,521322,249759,105909,527692,528497,539401,292617,206500
Pays de la Loire,476524,436245,479881,256902,132699,455910,430373,486553,286486,216778
Picardie,255736,235543,260282,132319,57004,243456,235678,264276,143076,97367
Poitou-Charentes,205357,193377,239316,148974,81273,194893,192074,248468,162519,125908
Provence-Alpes-Côte d'Azur,579662,562326,638386,384072,199682,552899,574326,690316,436128,319648
Rhône-Alpes,829188,805096,838716,435937,207144,789832,810200,859535,478407,339415
